village_names,family,individual,catechists_of_project
Sakur,10,61,1
Mandve.bhu,9,44,1
Mandve.khrd,2,10,1
Ambhore,8,41,0
Digress.vasti,6,32,0
Waghapur,5,45,0
Jorve.rohomvasti,2,9,1
Kanoli,8,65,1
Kanoli.pagare.vasti,6,37,1
Rupawate.mala.ozar,1,10,1
Ozar.Jagtap vasti,3,12,1
Ozar.bandhar,1,6,1
Ozar.shelke.vasti,5,21,1
Umbori Church,41,234,1
Umbori.mala vst,11,35,1
Krishna.vasti,5,24,1
Kolhevadi,1,4,0
Kokangaon,2,15,0
Konchi,9,30,0
Andheri,5,27,1
Mendvan,2,9,0
Mendvan.vasti,2,10,0
Talegaon,4,23,0
Talegaon.vasti,4,20,0
Tigaon,2,5,0
Akole,5,26,0
Devgaon,2,6,0
Dolasane,3,17,1
Ghargaon,2,8,0
Kautekameleshwar,2,9,0
Shedgaon,8,36,0
Shedgaon.vasti,3,8,0
Kharat Vasti,3,10,0
Kuran.rupava.vasti,3,9,0
Savargaon,1,6,0
Hivargaon pawsa,3,9,0
Bota,1,5,0
