VILLAGE,type,cluster,families,individuals,catechists_count,established_year,tehsil,description
kund,NFE Centres,Akola,0,0,0,0,akot,
januna,NFE Centres,Akola,0,0,0,0,akot,
chinchpani,NFE Centres,Akola,0,0,0,0,akot,
koha,NFE Centres,Akola,0,0,0,0,akot,
khirkund bk.,NFE Centres,Akola,0,0,0,0,akot,
pandhra khadak,NFE Centres,Amravati,0,0,0,0,chikhaldara,
menghat,NFE Centres,Amravati,0,0,0,0,chikhaldara,
haregaon,NFE Centres,Ashankur,0,0,0,0,shrirampur,
khanapur,NFE Centres,Ashankur,0,0,0,0,shrirampur,
khandala,NFE Centres,Ashankur,0,0,0,0,shrirampur,
khokar,NFE Centres,Ashankur,0,0,0,0,shrirampur,
nipani wadgaon,NFE Centres,Ashankur,0,0,0,0,shrirampur,
mandve,NFE Centres,Ashankur,0,0,0,0,shrirampur,
wadala mahadeo,NFE Centres,Ashankur,0,0,0,0,shrirampur,
pokhari,NFE Centres,Aurangabad,0,0,0,0,vaijapur,
gavadari tanda,NFE Centres,Aurangabad,0,0,0,0,aurangabad,
ohar,NFE Centres,Aurangabad,0,0,0,0,aurangabad,
mandki,NFE Centres,Aurangabad,0,0,0,0,aurangabad,
bakapur,NFE Centres,Aurangabad,0,0,0,0,aurangabad,
umapur,NFE Centres,Beed,0,0,0,0,georai,
shahajanpur (kamkheda),NFE Centres,Beed,0,0,0,0,bid,
pimpalgaon mochi,NFE Centres,Beed,0,0,0,0,bid,
kathoda,NFE Centres,Beed,0,0,0,0,bid,
rajuri ghodka,NFE Centres,Beed,0,0,0,0,bid,
namalgaon,NFE Centres,Beed,0,0,0,0,bid,
bhanashiware,NFE Centres,Newasa,0,0,0,0,nevasa,
mukindpur,NFE Centres,Newasa,0,0,0,0,nevasa,
baku pimpalgaon,NFE Centres,Newasa,0,0,0,0,nevasa,
belpandhari,NFE Centres,Newasa,0,0,0,0,nevasa,
mhasale,NFE Centres,Newasa,0,0,0,0,nevasa,
mandave bk.,NFE Centres,Sakur,0,0,0,0,sangamner,
sakur,NFE Centres,Sakur,0,0,0,0,sangamner,
deswade,NFE Centres,Sakur,0,0,0,0,parner,
bhorwadi,NFE Centres,Social centre,0,0,0,0,nagar,
satwad,NFE Centres,Social centre,0,0,0,0,pathardi,
karanji,NFE Centres,Social centre,0,0,0,0,pathardi,
